Date,Close/Last,Volume,Open,High,Low,Day
12/18/2023,486.12,6410660,476.3,492.04,475.095,294
12/15/2023,472.06,7840992,467.3,473,467.3,295
12/14/2023,469.83,5176437,480.36,480.76,464.7601,296
12/13/2023,479.98,5820192,461.98,481.25,461.98,297
12/12/2023,463,3302660,465.23,465.61,459.1962,298
12/11/2023,459.89,4929662,459.36,470.65,457.21,299
12/08/2023,453.76,3458384,450.76,455.5,450.76,300
12/07/2023,452,3506722,450.85,452.885,448.32,301
12/06/2023,446.73,4178755,460,460.5,445.73,302
12/05/2023,455.15,3380674,450.7,456.39,449.58,303
12/04/2023,453.9,5157713,460.99,461.2,451.2,304
12/01/2023,465.74,4341471,473.17,475.2299,464.6,305
11/30/2023,473.97,4287349,475.31,478.5907,470.42,306
11/29/2023,477.19,2855540,479,480.9885,474.49,307
11/28/2023,479,2890164,478.11,480.5,475.95,308
11/27/2023,479.17,3625924,479.03,482,475.35,309
11/24/2023,479.56,1404732,477.11,480.4,475.2,310
11/22/2023,478,2843891,476.8,482.7,476.56,311
11/21/2023,474.95,2997723,472.63,477.02,471.21,312
11/20/2023,474.47,3621095,465.4,476.7558,465.4,313
11/17/2023,465.91,2800214,466.95,467.65,462.76,314
11/16/2023,466.95,3655974,463,467.28,459.65,315
11/15/2023,461.94,5035283,452.81,462.7499,452.45,316
11/14/2023,448.65,4060884,448.78,454.075,445.64,317
11/13/2023,444.62,2896143,447.25,448.43,442.6,318
11/10/2023,447.24,4443284,437.48,447.48,435.51,319
11/09/2023,435.15,2735507,438.03,440.38,434.35,320
11/08/2023,436.65,2356845,435,438.07,433.68,321
11/07/2023,434.61,3291064,436.18,437.64,431,322
11/06/2023,434.74,3003235,434.38,435.03,429.61,323
11/03/2023,432.36,3667051,428.76,434.815,425.53,324
11/02/2023,424.71,4475984,421.17,426.69,417.1,325
11/01/2023,420.19,4806108,414.77,420.6,414.1798,326
10/31/2023,411.69,3877623,409.24,412.52,404.6301,327
10/30/2023,410.08,5317147,402.35,412.82,399.41,328
10/27/2023,397.87,4997612,406.42,410.21,395.62,329
10/26/2023,403.54,6849702,411.42,417.31,401.5444,330
10/25/2023,411.25,6299587,416.02,418.84,410.11,331
10/24/2023,413.73,6459247,409.68,416.6899,408.39,332
10/23/2023,406.84,7390032,403.32,407.54,398.5201,333
10/20/2023,400.96,12782920,405.63,410.64,398.01,334
10/19/2023,401.77,28074420,404.74,408.95,392.2601,335
10/18/2023,346.19,11429640,351,354.79,344.73,336
10/17/2023,355.72,5908412,361.1,362.7049,353.89,337
10/16/2023,360.82,5128947,356.21,363.0799,354.77,338
10/13/2023,355.68,6316320,355.64,358.93,352.05,339
10/12/2023,361.2,7376086,366.48,368.83,359.05,340
10/11/2023,365.93,9151395,372.775,377.81,365.34,341
10/10/2023,373.32,7288939,385.58,388.7,372.25,342
10/09/2023,385.95,3299802,378.05,387.17,377.755,343
10/06/2023,381.51,4778118,368.43,382.52,367.77,344
10/05/2023,372.59,5034773,378.01,378.5999,367.24,345
10/04/2023,376.9,4303658,376.5,380.22,373.58,346
10/03/2023,376.75,8878134,377.11,394.9,372.8492,347
10/02/2023,380.33,3102101,377.48,384.808,376.8,348
09/29/2023,377.6,4205298,380,382.58,375.35,349
09/28/2023,376.36,4369906,375.6,378.96,371.1,350
09/27/2023,377.59,3843521,382.4,384.223,376.25,351
09/26/2023,379.25,4089392,382.88,384.56,377.355,352
09/25/2023,384.8,3757278,382.9,386.62,380.81,353
09/22/2023,379.81,3699796,385,386.88,378.36,354
09/21/2023,384.15,5556388,386.5,395.8999,383.42,355
09/20/2023,386.3,3866619,397.05,397.985,386.12,356
09/19/2023,396.2,4080054,392.84,398.23,390.245,357
09/18/2023,394.4,4704706,395.5,399.465,392.6,358
09/15/2023,396.94,9116745,401,404.6997,395.03,359
09/14/2023,400.49,10709040,410.4,411.39,400,360
09/13/2023,412.24,11843030,435.5,438.4,410.69,361
09/12/2023,434.69,3124024,442.85,445.4399,434.12,362
09/11/2023,445.36,2913767,443.07,449.89,442.75,363
09/08/2023,442.8,2704353,443.56,446.81,438.85,364
09/07/2023,443.14,2922676,441.15,444.6,436.7,365
09/06/2023,445.76,3862274,448.61,451.39,440.49,366
09/05/2023,448.68,6155865,438.39,453.45,438,367
09/01/2023,439.88,4793379,437.725,445.5,435.93,368
08/31/2023,433.68,3802954,431.23,437.15,431.23,369
08/30/2023,434.67,3625380,430.85,438.16,428.35,370
08/29/2023,429.99,4486703,416,432.17,414.5,371
08/28/2023,418.06,2928613,418.04,419.83,413.27,372
08/25/2023,416.03,5390933,412,419.25,407.5641,373
08/24/2023,406.93,5687799,425.41,427.59,406.165,374
08/23/2023,427.55,8174732,418.4,437.02,417.71,375
08/22/2023,413.17,3603273,409,415.74,407.4,376
08/21/2023,408.29,3861579,402.23,409.61,399.5,377
08/18/2023,404.53,4312196,399.33,406.52,398.15,378
08/17/2023,403,6031469,415,415.24,401.5818,379
08/16/2023,415.45,3967021,423.73,424.51,415.25,380
08/15/2023,423.7,3367998,424.41,429.12,421.04,381
08/14/2023,427.78,3965963,421.99,428.845,418.78,382
08/11/2023,421.66,3927914,428.98,430.6317,421.3277,383
08/10/2023,429.98,5467607,431.12,438.12,428.69,384
08/09/2023,428.9,3846639,439.74,440.62,427.59,385
08/08/2023,438.3,3767195,440.36,443.57,435.1,386
08/07/2023,440.76,4781303,436.455,441.11,428.9057,387
08/04/2023,431.6,5441811,433.06,436.5,426.27,388
08/03/2023,431,6259309,427.8,441.93,427.19,389
08/02/2023,429.7,4921781,435.23,435.56,426.56,390
08/01/2023,438.62,5725544,437.37,445.2499,431.4,391
07/31/2023,438.97,6587619,426.51,439.13,426.3,392
07/28/2023,425.78,6428073,415.56,427.47,413.76,393
07/27/2023,413.17,6594466,426.9,427.52,411.88,394
07/26/2023,422.67,6009242,424.2,425.26,415.59,395
07/25/2023,427.7,4859843,427.18,430.8799,426.13,396
07/24/2023,428.37,8282434,425,428.64,419.19,397
07/21/2023,427.5,17340030,437.37,438.24,423.19,398
07/20/2023,437.42,23989710,447,448.5,432,399
07/19/2023,477.59,20996480,476.86,485,470,400
07/18/2023,474.8,13196880,451,478.15,448.78,401
07/17/2023,450.05,6901141,445.57,456.68,445.1053,402
07/14/2023,441.91,7195860,452.785,456.48,439.7,403
07/13/2023,450.38,6157475,447,451.67,441.177,404
07/12/2023,444.05,5731657,444.55,445.4085,437.7494,405
07/11/2023,440.21,4574559,438.65,440.8,431.0415,406
07/10/2023,441.71,4251737,438.52,444.41,436.82,407
07/07/2023,438.1,4165144,438.6,442.325,435.8354,408
07/06/2023,438.84,4944892,440,442.7999,430.72,409
07/05/2023,445.9,6875414,444.91,450.97,439.6244,410
07/03/2023,441.44,3728461,439.76,441.545,431.62,411
06/30/2023,440.49,7346394,431.1,444.12,431.1,412
06/29/2023,428.24,4932310,434.33,437.85,426.15,413
06/28/2023,429.84,8811342,423.1,437.2915,422.89,414
06/27/2023,417.08,4818066,417.39,420.8789,411.5,415
06/26/2023,415.94,4640022,422.435,430.9599,414.9,416
06/23/2023,424.02,8298600,418.59,425.82,417.73,417
06/22/2023,422.48,4872246,422.93,424.71,418.6801,418
06/21/2023,424.45,5146441,432.65,434.55,422.54,419
06/20/2023,434.7,4762313,430.18,440,430,420
06/16/2023,431.96,8753740,446.15,447.51,430.9,421
06/15/2023,445.27,7099915,444.1,448.65,439.5,422
06/14/2023,440.86,8413089,434.99,447.33,433.5,423
06/13/2023,435.73,7820535,430.01,437.27,428.4,424
06/12/2023,423.97,5967712,418.83,424.7,416.5669,425
06/09/2023,420.02,12372830,424.5,425.9,414.76,426
06/08/2023,409.37,5991087,399.77,409.54,396.34,427
06/07/2023,399.77,11932390,410.43,418.95,399.23,428
06/06/2023,399.29,4991532,405,405.12,396.93,429
06/05/2023,403.54,7247413,400.47,413.86,400.15,430
06/02/2023,400.47,5902381,402.89,406.58,395.9,431
06/01/2023,403.13,7160145,397.41,407.52,393.08,432
05/31/2023,395.23,6988047,391.89,396.26,388.91,433
05/30/2023,392.98,10864990,397.48,405.11,385.79,434
05/26/2023,378.88,9360436,361.1,383.76,356,435
05/25/2023,359,6263105,359.61,367.4499,357.42,436
05/24/2023,364.85,7973316,356.93,367.151,356.625,437
05/23/2023,355.99,6866078,360.24,364.17,354.31,438
05/22/2023,363.01,5406420,365.36,372.01,362.5,439
05/19/2023,365.36,7859703,369.86,369.99,363.81,440
05/18/2023,371.29,20925240,347.25,375.87,346.37,441
05/17/2023,339.96,3958807,331.76,341.38,329.615,442
05/16/2023,333.75,3334863,334,335.17,331.91,443
05/15/2023,335.89,3652970,340.62,341.9,335.54,444
05/12/2023,339.89,6082360,344.76,348.1664,337.3637,445
05/11/2023,344.76,8033531,334.98,345.47,331.84,446
05/10/2023,335.42,4289897,335.21,337.11,329.51,447
05/09/2023,332.14,5544852,330.67,336.32,329.7401,448
05/08/2023,331.21,5488593,322.99,332.56,322.03,449
05/05/2023,322.76,3990637,323.61,324.15,319.4401,450
05/04/2023,320.78,3879657,319.01,323.61,317.95,451
05/03/2023,319.3,5064057,317.55,324.62,315.85,452
05/02/2023,317.55,4318612,325,326.07,315.62,453
05/01/2023,324.12,5341484,329.435,331.23,318.09,454
04/28/2023,329.93,4228374,325.24,330.8077,324,455
04/27/2023,325.85,5618768,324.3,327.45,317.44,456
04/26/2023,321.15,4623238,321.36,325.9,320.47,457
04/25/2023,322.55,5426642,328.5,328.655,321.1,458
04/24/2023,329.02,5586627,330.2,334.66,326.75,459
04/21/2023,327.98,6348000,323,328.29,319.5,460
04/20/2023,325.35,9947800,320.39,331.4298,318.33,461
04/19/2023,323.12,22128270,324.21,325.75,316.1,462
04/18/2023,333.7,17944500,335,337.19,330.5,463
04/17/2023,332.72,6136047,338,338.39,327.5,464
04/14/2023,338.63,5350508,342.94,344.853,336.41,465
04/13/2023,346.19,7406437,339.99,346.43,338.75,466
04/12/2023,331.03,3965440,340.81,342.8,330.04,467
04/11/2023,338.21,4044778,343.45,347.14,337.635,468
04/10/2023,338.99,2657898,335.27,339.88,333.36,469
04/06/2023,339.33,4660542,339.34,340.48,332.63,470
04/05/2023,342.35,4205545,345.3,345.43,336.2526,471
04/04/2023,346.75,3298072,348.49,349.8,343.95,472
04/03/2023,348.28,4413650,341.83,348.58,340.4001,473
03/31/2023,345.48,5610161,340.05,345.84,337.2001,474
03/30/2023,338.43,7131468,340.27,343.29,335.3,475
03/29/2023,332.03,6287336,326.29,332.85,325.73,476
03/28/2023,323.52,6489388,326.06,333.32,321.28,477
03/27/2023,327.66,8625763,327.55,336.44,324.41,478
03/24/2023,328.39,13004090,320.63,331.83,320.63,479
03/23/2023,320.37,15653350,304.68,322.78,304.14,480
03/22/2023,293.9,5808035,306.31,306.45,293.54,481
