Date,Close/Last,Volume,Open,High,Low,Day,Source
12/03/2020,497.52,2826116,502.99,508.77,496.04,198,nasdaq
12/04/2020,498.31,3666243,497.5,504.5,493.64,199,nasdaq
12/07/2020,515.78,4289293,500.01,517.76,497.77,200,nasdaq
12/08/2020,512.66,4228950,517.9,521.4909,505.55,201,nasdaq
12/09/2020,493.6,4178768,510.53,514.5,491.29,202,nasdaq
12/10/2020,501.09,3018203,494.56,503.77,492.91,203,nasdaq
12/11/2020,503.22,3210928,495,503.34,494.85,204,nasdaq
12/14/2020,522.42,5770424,505.44,524.1603,501.18,205,nasdaq
12/15/2020,519.78,3398209,518.5,524.7,513.56,206,nasdaq
12/16/2020,524.83,3682392,520.11,527.38,517.69,207,nasdaq
12/17/2020,532.9,3193377,529,535.49,526.44,208,nasdaq
12/18/2020,534.45,4502692,533.2,536.37,526.02,209,nasdaq
12/21/2020,528.91,3893964,530.05,532.62,521.15,210,nasdaq
12/22/2020,527.33,1908529,527.69,530.4,520.5,211,nasdaq
12/23/2020,514.48,2393187,524.76,526.32,514.2,212,nasdaq
12/24/2020,513.97,1143952,515.12,519.345,512.2104,213,nasdaq
12/28/2020,519.12,2891867,516.43,523.66,507.13,214,nasdaq
12/29/2020,530.87,4022358,519.9,536.5478,515.4801,215,nasdaq
12/30/2020,524.59,1876286,530.13,533.2575,523.69,216,nasdaq
12/31/2020,540.73,5392322,525.53,545.5,523.1502,217,nasdaq
01/04/2021,522.86,4444407,539,540.8,515.085,218,nasdaq
01/05/2021,520.8,3133872,521.55,526.78,515.89,219,nasdaq
01/06/2021,500.49,5346210,511.97,513.0998,499.5,220,nasdaq
01/07/2021,508.89,3686448,508.28,516.44,506.42,221,nasdaq
01/08/2021,510.4,2973949,511.31,513.24,504.51,222,nasdaq
01/11/2021,499.1,3812720,507.84,510.725,497.95,223,nasdaq
01/12/2021,494.25,5990425,500,501.09,485.6701,224,nasdaq
01/13/2021,507.79,5032099,495.5012,512.3542,493.01,225,nasdaq
01/14/2021,500.86,4177357,507.35,514.5,499.58,226,nasdaq
01/15/2021,497.98,5895788,500,506.32,495.1,227,nasdaq
01/19/2021,501.77,12315810,501,509.25,493.5427,228,nasdaq
01/20/2021,586.34,32637450,565.42,593.2877,556.86,229,nasdaq
01/21/2021,579.84,11840630,582.45,588.75,570.4,230,nasdaq
01/22/2021,565.17,7550822,582.1,583.99,564.35,231,nasdaq
01/25/2021,556.78,7207329,567,569.75,548.65,232,nasdaq
01/26/2021,561.93,5023847,554.73,567.99,554.06,233,nasdaq
01/27/2021,523.28,8670277,550.71,556.4187,515.73,234,nasdaq
01/28/2021,538.6,5968978,535.88,553.1482,530.74,235,nasdaq
01/29/2021,532.39,4325264,538,541,530.18,236,nasdaq
02/01/2021,539.04,3547507,536.79,545.06,531.73,237,nasdaq
02/02/2021,548.16,3767569,542.01,555.48,538.935,238,nasdaq
02/03/2021,539.45,3172288,550.17,550.48,538.243,239,nasdaq
02/04/2021,552.16,5164537,539.81,559.48,537.51,240,nasdaq
02/05/2021,550.79,2376175,552.26,554.44,545.4778,241,nasdaq
02/08/2021,547.92,2791721,555,555,543.7,242,nasdaq
02/09/2021,559.07,3703499,546,566,543,243,nasdaq
02/10/2021,563.59,3991264,562.5,566.65,553.463,244,nasdaq
02/11/2021,557.59,2730587,564.442,565.93,554.22,245,nasdaq
02/12/2021,556.52,2197128,556.94,561.2499,550.85,246,nasdaq
02/16/2021,557.28,2624097,557.286,563.63,552.73,247,nasdaq
02/17/2021,551.34,2071590,550.99,555.25,543.03,248,nasdaq
02/18/2021,548.22,2457604,549,550,538.2265,249,nasdaq
02/19/2021,540.22,2841457,548,548.99,538.8132,250,nasdaq
02/22/2021,533.78,3078594,534.99,541.79,530.79,251,nasdaq
02/23/2021,546.15,4136532,525.004,548.54,518.28,252,nasdaq
02/24/2021,553.41,3245038,539.8,556.8499,539.065,253,nasdaq
02/25/2021,546.7,4252879,550.27,556.48,535.75,254,nasdaq
02/26/2021,538.85,3755574,546.51,553.09,538,255,nasdaq
03/01/2021,550.64,3042180,545.573,552.14,542,256,nasdaq
03/02/2021,547.82,3042226,553.34,556.99,546.02,257,nasdaq
03/03/2021,520.7,5362443,545.93,548.005,517.81,258,nasdaq
03/04/2021,511.29,5034792,521.5,531.5,507.68,259,nasdaq
03/05/2021,516.39,5069973,511.98,517.76,498.7901,260,nasdaq
03/08/2021,493.33,3981758,514.46,518.84,492.85,261,nasdaq
03/09/2021,506.44,3470042,507.31,513.11,503.8221,262,nasdaq
03/10/2021,504.54,3771484,513.5,518.97,504.25,263,nasdaq
03/11/2021,523.06,4714469,512.205,530.235,510.71,264,nasdaq
03/12/2021,518.02,3981743,512.5,526.51,506.59,265,nasdaq
03/15/2021,520.25,3485519,516.32,520.729,508.03,266,nasdaq
03/16/2021,524.03,3238888,524.47,533.42,523.21,267,nasdaq
03/17/2021,524.44,2817376,522,528.3654,514.3,268,nasdaq
03/18/2021,504.79,4096606,516.396,517.9,503.85,269,nasdaq
03/19/2021,512.18,4386360,504.96,513.19,501.63,270,nasdaq
03/22/2021,523.11,3360587,509.13,529.31,509.13,271,nasdaq
03/23/2021,535.09,5583461,529.87,543.12,529.4,272,nasdaq
03/24/2021,520.81,4102211,533.78,534.42,520,273,nasdaq
03/25/2021,502.86,4926764,516.99,518.53,497,274,nasdaq
03/26/2021,508.05,3467797,502.82,508.72,496.68,275,nasdaq
03/29/2021,513.95,3330049,505.66,518,504.4,276,nasdaq
03/30/2021,513.39,2418129,510.505,514.41,506.91,277,nasdaq
03/31/2021,521.66,3503111,515.675,528.13,515.44,278,nasdaq
04/01/2021,539.42,3938637,529.93,540.5,527.03,279,nasdaq
04/05/2021,540.67,3355904,540.01,542.85,529.23,280,nasdaq
04/06/2021,544.53,3474205,544.81,554.165,543.3,281,nasdaq
04/07/2021,546.99,2151319,543.5,549.64,541.45,282,nasdaq
04/08/2021,554.58,4309829,551.13,556.899,547.57,283,nasdaq
04/09/2021,555.31,2894034,552.69,556.9,547.11,284,nasdaq
04/12/2021,552.78,2944060,551.05,557.98,549.58,285,nasdaq
04/13/2021,553.73,2720344,557,559.75,550.3,286,nasdaq
04/14/2021,540.02,3740294,554.87,554.87,538.53,287,nasdaq
04/15/2021,549.22,3139050,544.17,553.49,542.66,288,nasdaq
04/16/2021,546.54,3209075,550.54,551.98,539.51,289,nasdaq
04/19/2021,554.44,4288715,546.9,556.44,545.53,290,nasdaq
04/20/2021,549.57,11257650,554.42,563.56,546.3,291,nasdaq
04/21/2021,508.9,22897450,508,515.46,503.6001,292,nasdaq
04/22/2021,508.78,9061062,513.82,513.96,500.55,293,nasdaq
04/23/2021,505.55,7314659,509.01,509.7,500.7,294,nasdaq
04/26/2021,510.3,4388839,506.76,510.48,503,295,nasdaq
04/27/2021,505.55,3761327,512.62,512.99,504.5808,296,nasdaq
04/28/2021,506.52,3192983,505.2,508.395,503.34,297,nasdaq
04/29/2021,509,5127792,507.6,509.29,499,298,nasdaq
04/30/2021,513.47,4413242,505,514.55,505,299,nasdaq
05/03/2021,509.11,4091895,512.65,518.95,505.2,300,nasdaq
05/04/2021,503.18,4349502,510.78,511.63,496.79,301,nasdaq
05/05/2021,496.08,3129366,504.99,507.7843,494.63,302,nasdaq
05/06/2021,499.55,3783698,495.99,499.55,491.37,303,nasdaq
05/07/2021,503.84,3132786,504.62,508.55,501.12,304,nasdaq
05/10/2021,486.69,5131632,502,503.15,486.11,305,nasdaq
05/11/2021,495.08,4401000,479.75,497.99,478.63,306,nasdaq
05/12/2021,484.98,4121540,486.83,493.54,482.7,307,nasdaq
05/13/2021,486.66,2716561,489.13,490.775,482.71,308,nasdaq
05/14/2021,493.37,2882464,487.86,494.85,486.59,309,nasdaq
05/17/2021,488.94,2701057,485.59,492.71,482.81,310,nasdaq
05/18/2021,486.28,2350496,488.395,493.4778,486.1895,311,nasdaq
05/19/2021,487.7,3349930,481.625,488.57,478.54,312,nasdaq
05/20/2021,501.67,3721218,489.55,502.7,488.975,313,nasdaq
05/21/2021,497.89,3322925,503.12,505.4,497.26,314,nasdaq
05/24/2021,502.9,2412595,501.05,504.25,499.51,315,nasdaq
05/25/2021,501.34,2699459,506,506.365,499.22,316,nasdaq
05/26/2021,502.36,2465303,502.34,504.14,500.5,317,nasdaq
